tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
1,cust_380,True,Tue Jan 09 03:14:00 +0000 2018,@AmazonHelp order 126225 arrived but it's the wrong item entirely. I ordered a blender and got headphones. Need this fixed asap,2,
2,AmazonHelp,False,Tue Jan 09 04:21:00 +0000 2018,So sorry about that mix-up! Please DM your order number and we'll arrange a free return and get the correct item shipped out. ^SM,,1
3,cust_378,True,Tue Nov 07 07:36:00 +0000 2017,"Can't log into my account, it keeps saying my password is wrong even after I reset it 3 times @AmazonHelp this is so frustrating",4,
4,AmazonHelp,False,Tue Nov 07 10:34:00 +0000 2017,"Sorry for the trouble logging in! Please try resetting from a private/incognito window, and DM us if it still doesn't work. ^JD",,3
5,cust_303,True,Sat Mar 03 14:48:00 +0000 2018,"@AmazonHelp this is the THIRD time my order 191161 has been delayed. Absolutely unacceptable, I want a manager to call me.",6,
6,AmazonHelp,False,Sat Mar 03 15:01:00 +0000 2018,We completely understand your frustration and apologize for the repeated delays. Please DM your order number so we can escalate this internally. ^KL,,5
7,cust_112,True,Sun Dec 24 17:01:00 +0000 2017,Hi @AmazonHelp my package #198246 was supposed to arrive 3 days ago and tracking hasn't updated at all. Where is it??,8,
8,AmazonHelp,False,Sun Dec 24 19:15:00 +0000 2017,"Hi there, we're sorry for the delay! Please DM us your order number and zip code so we can look into the tracking for you. ^KL",,7
9,cust_288,True,Tue Dec 12 09:28:00 +0000 2017,"Refund for order 127824 still hasn't shown up after 2 weeks @AmazonHelp, this feels like a scam at this point.",10,
10,AmazonHelp,False,Tue Dec 12 12:36:00 +0000 2017,We're sorry for the wait — refunds can take 3-5 business days once processed. Please DM your order number so we can check the status. ^SM,,9
11,cust_113,True,Tue Mar 13 13:14:00 +0000 2018,"@AmazonHelp this is the THIRD time my order 539898 has been delayed. Absolutely unacceptable, I want a manager to call me.",12,
12,AmazonHelp,False,Tue Mar 13 15:49:00 +0000 2018,We completely understand your frustration and apologize for the repeated delays. Please DM your order number so we can escalate this internally. ^KL,,11
13,cust_4,True,Wed Jul 04 06:33:00 +0000 2018,"@AmazonHelp the product I received for order 948749 is completely broken, screen is cracked out of the box.",14,
14,AmazonHelp,False,Wed Jul 04 10:04:00 +0000 2018,That's not the experience we want for you — please DM your order number and a photo of the damage so we can send a replacement. ^KL,,13
15,cust_217,True,Thu Feb 01 21:09:00 +0000 2018,"@AmazonHelp I was charged twice for order 832052, can someone explain why there are two charges on my card for the same item?",16,
16,AmazonHelp,False,Thu Feb 01 22:25:00 +0000 2018,We apologize for the confusion — please DM your order ID and the last 4 digits of the card used so we can review the charges. ^RT,,15
17,cust_391,True,Wed Jan 31 13:12:00 +0000 2018,"@AmazonHelp I was charged twice for order 325772, can someone explain why there are two charges on my card for the same item?",18,
18,AmazonHelp,False,Wed Jan 31 13:43:00 +0000 2018,We apologize for the confusion — please DM your order ID and the last 4 digits of the card used so we can review the charges. ^RT,,17
